Dataset,Fold,Variant,Training_MMRE,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Changed,Deleted,Resource,Duration,AdjFactor,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,TeamExp,ManagerExp,YearEnd,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,Hardware,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Size,Time,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
Albrecht,6,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,6,FAABE_NO_PEARSON,0.3199164867401123,0.0713176354765892,0.13129335641860962,0.2874348759651184,0.16247856616973877,0.07187695056200027,0.0,0.2755986452102661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,6,FAABE_NO_IWM,0.3154231011867523,0.23214490711688995,0.16907717287540436,0.3343508839607239,0.15511998534202576,0.0,0.0,0.10930702835321426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,6,FAABE_FULL,0.30026453733444214,0.0,0.24641729891300201,0.24179020524024963,0.1642494648694992,0.07577800750732422,0.0,0.2717650532722473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,7,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,7,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,7,FAABE_NO_PEARSON,0.5691378712654114,0.010432593524456024,0.20532971620559692,0.31719839572906494,0.26312291622161865,0.11884299665689468,0.006274787709116936,0.07879862189292908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,7,FAABE_NO_IWM,0.5665559768676758,0.0647486224770546,0.1631440967321396,0.28791186213493347,0.18354174494743347,0.09229326993227005,0.0,0.20836041867733002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,7,FAABE_FULL,0.573479175567627,0.02531200461089611,0.09074416756629944,0.5561419129371643,0.11508464813232422,0.08192235976457596,0.0,0.13079488277435303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,8,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
