Dataset,Ablation,Proposed,Valid_Pairs,Ablation_MMRE,FAABE_FULL_MMRE,Full_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
Miyazaki94,FAABE_NO_FIREFLY,FAABE_FULL,48,0.5191571930705651,0.4962651024254061,4.409471919239576,533.0,0.5793745498477492,0.019965277777777776,Negligible,1.0,False
Miyazaki94,FAABE_NO_IWM,FAABE_FULL,48,0.4971284100847109,0.4962651024254061,0.17365888607285684,456.0,0.17905311156172843,-0.013020833333333334,Negligible,0.5371593346851853,False
Subbiah,ABE_BASE,FAABE_FULL,72,2.1248666700742946,2.2739857717829963,-7.017809814085315,1231.0,0.6413797406093857,-0.007716049382716049,Negligible,1.0,False
Subbiah,FAABE_NO_PEARSON,FAABE_FULL,72,2.230240313746966,2.2739857717829963,-1.961468356857688,955.0,0.043946791313688886,0.08950617283950617,Negligible,0.17578716525475555,False
Subbiah,FAABE_NO_FIREFLY,FAABE_FULL,72,2.4259586531325716,2.2739857717829963,6.264446475760707,1216.0,0.5823564384882778,-0.03433641975308642,Negligible,1.0,False
Subbiah,FAABE_NO_IWM,FAABE_FULL,72,1.7045463115068236,2.2739857717829963,-33.4070982074278,1240.0,0.6779476873812453,0.008101851851851851,Negligible,1.0,False
Valdes-Souto,ABE_BASE,FAABE_FULL,57,0.6949283675597855,3.000102634943868,-331.7139398811153,402.0,0.0007442396849216399,-0.25823330255463217,Small,0.0022327190547649194,True
Valdes-Souto,FAABE_NO_PEARSON,FAABE_FULL,57,0.6858001129223081,3.000102634943868,-337.460213029119,389.0,0.0005088981289211276,-0.24838411819021236,Small,0.0020355925156845104,True
Valdes-Souto,FAABE_NO_FIREFLY,FAABE_FULL,57,2.9993530150384276,3.000102634943868,-0.0249927201527174,6.0,0.3454475304692257,0.0043090181594336715,Negligible,0.6908950609384514,False
Valdes-Souto,FAABE_NO_IWM,FAABE_FULL,57,2.8250571651706315,3.000102634943868,-6.19617443255043,748.0,0.5328253883550829,0.012003693444136657,Negligible,0.6908950609384514,False
