Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Duration,AdjFactor,Resource,data,modp,loc,pcap,turn,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Nlan,T07,T11,T14,T15,Size,T09,T10,T01,T08,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
Maxwell,9,WOA-ABE,0.45892077684402466,1000,,,,,,,,,,,,0.26898226141929626,,,,,,,,,,,,,,,,,,,,,0.0,0.05830161273479462,0.16775676608085632,,0.36260277032852173,,,0.0,0.14235663414001465,,,,,,,,,,,,,,,
Maxwell,9,FAABE,0.4762962758541107,1000,,,,,,,,,,,,0.25958243012428284,,,,,,,,,,,,,,,,,,,,,0.019016657024621964,0.06414838880300522,0.12520697712898254,,0.39556169509887695,,,0.012554625980556011,0.12392927706241608,,,,,,,,,,,,,,,
Maxwell,10,ABE,,0,,,,,,,,,,,,0.1666666716337204,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,,,,,,,,,,,,,,,,,,,
Maxwell,10,GA-ABE,0.4703616499900818,1000,,,,,,,,,,,,0.26681801676750183,,,,,,,,,,,,,,,,,,,,0.11086930334568024,0.07708603143692017,0.0017156503163278103,0.2511070966720581,,0.292403906583786,,,,,,,,,,,,,,,,,,,
Maxwell,10,PSO-ABE,0.45870450139045715,1000,,,,,,,,,,,,0.43504011631011963,,,,,,,,,,,,,,,,,,,,0.07990271598100662,0.0933779776096344,0.0,0.18834620714187622,,0.2033330351114273,,,,,,,,,,,,,,,,,,,
Maxwell,10,DE-ABE,0.5253456830978394,1000,,,,,,,,,,,,0.34010234475135803,,,,,,,,,,,,,,,,,,,,0.09947049617767334,0.18839262425899506,0.0,0.2063516080379486,,0.16568292677402496,,,,,,,,,,,,,,,,,,,
Maxwell,10,GWO-ABE,0.4195893108844757,1000,,,,,,,,,,,,0.4229225218296051,,,,,,,,,,,,,,,,,,,,0.03518068790435791,0.004472446162253618,0.005448361858725548,0.037247203290462494,,0.49472877383232117,,,,,,,,,,,,,,,,,,,
Maxwell,10,WOA-ABE,0.4064100980758667,1000,,,,,,,,,,,,0.4176844358444214,,,,,,,,,,,,,,,,,,,,0.03505046293139458,0.0,0.0,0.041937798261642456,,0.5053273439407349,,,,,,,,,,,,,,,,,,,
Maxwell,10,FAABE,0.4205232262611389,1000,,,,,,,,,,,,0.46107083559036255,,,,,,,,,,,,,,,,,,,,0.042487043887376785,0.0,0.0,0.038287390023469925,,0.4581547677516937,,,,,,,,,,,,,,,,,,,
Miyazaki94,1,ABE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,
