MMRE_Rank,Dataset,Method,N_Projects,MMRE,MAE,MSE,RMSE
1,Kemerer,DE-ABE,15,0.5977720637610415,120.86289048258463,55706.605594710425,236.0224684107647
2,Kemerer,FAABE,15,0.6073018407141219,122.94887274169922,57175.81032172696,239.11463845136493
3,Kemerer,GWO-ABE,15,0.608383969968058,121.01509334309895,53776.78929048477,231.89823046001186
4,Kemerer,ABE,15,0.613218082119333,121.57362097167969,56555.13949643262,237.81324499790296
5,Kemerer,WOA-ABE,15,0.616412441232069,118.75037624104817,48249.76597634356,219.65829366619317
6,Kemerer,GA-ABE,15,0.6175963677271713,124.00303584798176,53498.92392401866,231.2983439716304
7,Kemerer,PSO-ABE,15,0.6256886989340807,127.43988684082031,57066.22810446847,238.88538696301302
1,Kitchenham,GWO-ABE,145,0.2674104949744245,1237.1116126751078,72135396.71700908,8493.255954992119
2,Kitchenham,GA-ABE,145,0.2747152921668621,1248.589967504041,69931227.5366105,8362.489314588718
3,Kitchenham,FAABE,145,0.27681160320518566,1268.1330406452048,72221640.98185281,8498.33165873472
4,Kitchenham,WOA-ABE,145,0.27826151171979635,1281.2874153926455,72289901.23645374,8502.34680758517
5,Kitchenham,PSO-ABE,145,0.2824530859990394,1266.7733238483297,72214242.38558245,8497.89635060245
6,Kitchenham,DE-ABE,145,0.2897473935077527,1274.2677675444504,72200427.3970121,8497.083464166519
7,Kitchenham,ABE,145,0.5220561577348432,1541.6726122625944,71566377.53057553,8459.691337783875
1,Maxwell,GA-ABE,62,0.5237472243488898,3525.6377868652344,46026341.88338992,6784.271654598592
2,Maxwell,WOA-ABE,62,0.5350222505844798,3548.2248613911293,38665294.32557541,6218.142353273637
3,Maxwell,GWO-ABE,62,0.5375570674878936,3417.0105768019152,45043465.54584065,6711.442881068172
4,Maxwell,PSO-ABE,62,0.5627813990802418,3330.994624968498,36056880.62706551,6004.738181391884
5,Maxwell,FAABE,62,0.6722114239452034,3103.9874070690526,29525522.83186368,5433.739304738835
6,Maxwell,DE-ABE,62,0.6839549587421205,3655.986034762475,39477542.49688355,6283.115667953563
7,Maxwell,ABE,62,0.7976828195705051,4308.216974073841,65962163.351933174,8121.709386079581
1,Miyazaki94,WOA-ABE,48,0.43956899239324393,50.197888251145685,42951.83193464421,207.24823747053728
2,Miyazaki94,DE-ABE,48,0.48771257489765035,50.02796686887741,42991.84412885956,207.34474704911037
3,Miyazaki94,GWO-ABE,48,0.5035486752592846,60.80649095773697,48043.04288455166,219.18723248526967
4,Miyazaki94,PSO-ABE,48,0.5152299720979062,61.6175501982371,47470.85682839744,217.87807789770278
5,Miyazaki94,ABE,48,0.5191571930705651,52.02781643867493,43427.30250587807,208.39218436850763
6,Miyazaki94,GA-ABE,48,0.519956184379649,61.37853102286656,47952.50622768164,218.98060696710482
7,Miyazaki94,FAABE,48,0.5667680345123011,61.2955137570699,48050.97411106507,219.20532409379356
1,Subbiah,GA-ABE,72,2.0110932495167666,5984.551125420465,73918344.01224467,8597.577799138817
2,Subbiah,WOA-ABE,72,2.0201751391089084,6282.710789998372,74469014.76628093,8629.543137749584
3,Subbiah,FAABE,72,2.2321721363541527,6177.554799397786,78325173.23815165,8850.151029115359
4,Subbiah,DE-ABE,72,2.3513364955287863,6100.872048272027,75410498.2398938,8683.92182368622
5,Subbiah,ABE,72,2.4259586531325716,5662.634145100911,69018700.31473619,8307.749413333084
6,Subbiah,PSO-ABE,72,2.4302771999204946,5488.83831108941,68713736.06617044,8289.374889952223
7,Subbiah,GWO-ABE,72,2.4790664543093186,6536.893118964301,83258564.44808865,9124.613112241452
1,Valdes-Souto,ABE,57,2.9993530150384276,2426.602099448756,32172457.39347069,5672.076991144487
2,Valdes-Souto,GWO-ABE,57,3.000099913380486,2439.3398688600773,32954612.63287193,5740.6108240214235
3,Valdes-Souto,GA-ABE,57,3.000101806246976,2439.389312690601,32957061.13963569,5740.824081927236
4,Valdes-Souto,FAABE,57,3.00010221116544,2439.399892117684,32957586.884019878,5740.869871719779
5,Valdes-Souto,PSO-ABE,57,3.000102664010276,2439.41221800687,32958197.523301627,5740.923054988773
6,Valdes-Souto,DE-ABE,57,3.000102664010276,2439.41221800687,32958197.523301627,5740.923054988773
7,Valdes-Souto,WOA-ABE,57,3.000102683742234,2439.412213723701,32958197.271707717,5740.923033076451
