Dataset,Baseline,Proposed,Valid_Pairs,Baseline_MMRE,FAABE_MMRE,FAABE_MMRE_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
COCOMO81,WOA-ABE,FAABE,64,1.81157353089471,2.3702411610864247,-30.838805086525895,785.0,0.17939488971786188,-0.1259765625,Negligible,0.6732751957450387,False
Desharnais,ABE,FAABE,81,0.6558106603996695,0.6386713072320257,2.6134605919944343,1428.0,0.2736588898318003,0.008992531626276482,Negligible,1.0,False
Desharnais,GA-ABE,FAABE,81,0.625171827945574,0.6386713072320257,-2.1593230345668917,1494.0,0.43308188856214946,-0.006553878981862521,Negligible,1.0,False
Desharnais,PSO-ABE,FAABE,81,0.6547276723201082,0.6386713072320257,2.4523730654586195,1622.0,0.8561565770120594,-0.0172229843011736,Negligible,1.0,False
Desharnais,DE-ABE,FAABE,81,0.6974464093167073,0.6386713072320257,8.427185415186804,1371.0,0.17286758005280167,0.03398872123151959,Negligible,1.0,False
Desharnais,GWO-ABE,FAABE,81,0.7372883110645316,0.6386713072320257,13.375636416928685,1585.0,0.7222336040415055,-0.0007620789513793629,Negligible,1.0,False
Desharnais,WOA-ABE,FAABE,81,0.6396889995491378,0.6386713072320257,0.1590917332999963,1576.0,0.6907409409094621,0.03764670019814053,Negligible,1.0,False
Kemerer,ABE,FAABE,15,0.613218082119333,0.6073018407141219,0.9647858694518858,57.0,0.890380859375,0.022222222222222223,Negligible,1.0,False
Kemerer,GA-ABE,FAABE,15,0.6175963677271713,0.6073018407141219,1.6668697471350975,42.0,0.33026123046875,0.06666666666666667,Negligible,1.0,False
Kemerer,PSO-ABE,FAABE,15,0.6256886989340807,0.6073018407141219,2.938659152911444,60.0,1.0,0.04888888888888889,Negligible,1.0,False
Kemerer,DE-ABE,FAABE,15,0.5977720637610415,0.6073018407141219,-1.5942158442669947,59.0,0.97796630859375,0.04,Negligible,1.0,False
Kemerer,GWO-ABE,FAABE,15,0.608383969968058,0.6073018407141219,0.1778694553692715,55.0,0.803955078125,-0.03111111111111111,Negligible,1.0,False
Kemerer,WOA-ABE,FAABE,15,0.616412441232069,0.6073018407141219,1.4780039967618224,40.0,0.27685546875,0.057777777777777775,Negligible,1.0,False
Kitchenham,ABE,FAABE,145,0.5220561577348432,0.27681160320518566,46.97666159015393,3185.0,3.186088155783332e-05,0.23662306777645659,Small,0.00019116528934699992,True
Kitchenham,GA-ABE,FAABE,145,0.2747152921668621,0.27681160320518566,-0.7630849457955492,5191.0,0.8412157380744749,-0.0024256837098692034,Negligible,1.0,False
Kitchenham,PSO-ABE,FAABE,145,0.2824530859990394,0.27681160320518566,1.997316748691116,4924.0,0.46701901576967275,-0.0064209274673008325,Negligible,1.0,False
Kitchenham,DE-ABE,FAABE,145,0.2897473935077527,0.27681160320518566,4.46450618449512,4370.0,0.0686354617061435,0.04361474435196195,Negligible,0.3431773085307175,False
Kitchenham,GWO-ABE,FAABE,145,0.2674104949744245,0.27681160320518566,-3.5156093000988293,4814.0,0.34493788763730093,-0.04019024970273484,Negligible,1.0,False
Kitchenham,WOA-ABE,FAABE,145,0.27826151171979635,0.27681160320518566,0.5210596699664003,5171.0,0.8104742638594677,-0.013555291319857313,Negligible,1.0,False
Maxwell,ABE,FAABE,62,0.7976828195705051,0.6722114239452034,15.729484520283272,642.0,0.019016674129435352,0.2596253902185224,Small,0.11410004477661212,False
Maxwell,GA-ABE,FAABE,62,0.5237472243488898,0.6722114239452034,-28.34653678229624,944.0,0.8197551768472482,0.055150884495317375,Negligible,1.0,False
Maxwell,PSO-ABE,FAABE,62,0.5627813990802418,0.6722114239452034,-19.444499239634418,853.0,0.3865628127073216,0.0931321540062435,Negligible,1.0,False
