Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Actual.duration,Adjusted.function.points,First.estimate
Kitchenham,8,DE-ABE,0.2605045735836029,1000,0.0021606639493256807,0.06379309296607971,0.9340462684631348
Kitchenham,8,GWO-ABE,0.2642471194267273,1000,0.010806800797581673,0.05323922261595726,0.9359539747238159
Kitchenham,8,WOA-ABE,0.2750031352043152,1000,0.0,0.04070975258946419,0.9592902660369873
Kitchenham,8,FAABE,0.2635772228240967,1000,0.002162244403734803,0.06175687536597252,0.9360809326171875
Kitchenham,9,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,9,GA-ABE,0.2730001211166382,1000,0.008525218814611435,0.11267246305942535,0.8788023591041565
Kitchenham,9,PSO-ABE,0.2792011797428131,1000,0.0,0.1066519170999527,0.8933480978012085
Kitchenham,9,DE-ABE,0.28482136130332947,1000,0.00556959118694067,0.23193427920341492,0.7624961733818054
Kitchenham,9,GWO-ABE,0.2729641795158386,1000,0.008032052777707577,0.10960816591978073,0.8823598027229309
Kitchenham,9,WOA-ABE,0.2792012393474579,1000,0.0,0.10665003955364227,0.8933499455451965
Kitchenham,9,FAABE,0.2742917239665985,1000,0.010693101212382317,0.11738783866167068,0.8719190955162048
Kitchenham,10,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,10,GA-ABE,0.2560390830039978,1000,0.008703378960490227,0.06438008695840836,0.9269165396690369
Kitchenham,10,PSO-ABE,0.27343419194221497,1000,0.0,0.09105006605386734,0.9089499115943909
Kitchenham,10,DE-ABE,0.29108425974845886,1000,0.013705427758395672,0.32998350262641907,0.6563110947608948
Kitchenham,10,GWO-ABE,0.2544177174568176,1000,0.0059606097638607025,0.07573654502630234,0.9183028936386108
Kitchenham,10,WOA-ABE,0.27343428134918213,1000,0.0,0.09104721248149872,0.9089527726173401
Kitchenham,10,FAABE,0.25969430804252625,1000,0.008183909580111504,0.06448802351951599,0.9273280501365662
