Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor,Resource
China,4,PSO-ABE,1.1868003606796265,1000,0.13698545098304749,0.0028288280591368675,0.0,0.02198774367570877,0.0,0.2045447677373886,0.16503097116947174,0.28703755140304565,0.18158476054668427,
China,4,DE-ABE,1.173184871673584,1000,0.09024803340435028,0.09193649888038635,0.04110461473464966,0.014252756722271442,0.2953280210494995,0.13453000783920288,0.19724199175834656,0.06046466901898384,0.07489337027072906,
China,4,GWO-ABE,1.0974152088165283,1000,0.07297447323799133,0.0003401885915081948,0.05960361286997795,0.029871774837374687,0.0947674810886383,0.01934020034968853,0.15389218926429749,0.16346101462841034,0.4057490825653076,
China,4,WOA-ABE,1.0945091247558594,1000,0.0671105831861496,0.007045926060527563,0.03852609172463417,0.04005536437034607,0.06836448609828949,0.025213584303855896,0.16519466042518616,0.15617431700229645,0.432314932346344,
China,4,FAABE,1.1401855945587158,1000,0.0,0.08711954951286316,0.05302510783076286,0.01704232208430767,0.12750662863254547,0.11472110450267792,0.17532777786254883,0.09065812826156616,0.3345993757247925,
China,5,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,5,GA-ABE,1.2663497924804688,1000,0.0,0.16385410726070404,0.16740682721138,0.05512015521526337,0.10103936493396759,0.1913387030363083,0.08356302976608276,0.0643560141324997,0.17332184314727783,
China,5,PSO-ABE,1.2587742805480957,1000,0.14114215970039368,0.0,0.02256695181131363,0.06610403954982758,0.2334311604499817,0.12689563632011414,0.1815810203552246,0.22011569142341614,0.00816334132105112,
China,5,DE-ABE,1.2907800674438477,1000,0.01898902654647827,0.10490559041500092,0.19470179080963135,0.03021436370909214,0.10868237912654877,0.15216028690338135,0.022994156926870346,0.1551142930984497,0.212238147854805,
China,5,GWO-ABE,1.2551391124725342,1000,0.002540272893384099,0.29455602169036865,0.013214513659477234,0.04626878723502159,0.04767515882849693,0.09867394715547562,0.00032325589563697577,0.09099800139665604,0.4057500958442688,
China,5,WOA-ABE,1.2906901836395264,1000,0.07546665519475937,0.5017822980880737,0.0,0.09205564856529236,0.0226682648062706,0.08474740386009216,0.023941075429320335,0.1286173313856125,0.07072139531373978,
China,5,FAABE,1.3182612657546997,1000,0.08580999821424484,0.17877724766731262,0.06303051114082336,0.05934467539191246,0.06411851942539215,0.17156945168972015,0.026125634089112282,0.2036908119916916,0.14753314852714539,
China,6,ABE,,0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
China,6,GA-ABE,1.116068720817566,1000,0.1571820080280304,0.033828455954790115,0.13663707673549652,0.09441754966974258,0.06585181504487991,0.14305619895458221,7.630654152990246e-08,0.22979463636875153,0.13914315402507782,8.90730443643406e-05
China,6,PSO-ABE,1.0891848802566528,1000,0.17968109250068665,0.10451995581388474,0.09819600731134415,0.082618348300457,0.0,0.14225810766220093,0.0,0.170689195394516,0.21527257561683655,0.006764692720025778
China,6,DE-ABE,1.114506721496582,1000,0.001745504909195006,0.07687683403491974,0.1712985783815384,0.06817901134490967,0.14703620970249176,0.07264557480812073,0.01607389934360981,0.23433499038219452,0.15353555977344513,0.058273881673812866
China,6,GWO-ABE,1.0969511270523071,1000,0.019327005371451378,0.12266981601715088,0.13033747673034668,0.06843870133161545,0.004008259624242783,0.17972761392593384,0.08513277024030685,0.21201708912849426,0.17156310379505157,0.006778234615921974
China,6,WOA-ABE,1.1117833852767944,1000,0.09918855130672455,0.08845358341932297,0.0250569898635149,0.039291009306907654,0.13286708295345306,0.07981318980455399,0.0835191085934639,0.25174689292907715,0.18701514601707458,0.01304840762168169
China,6,FAABE,1.1347981691360474,1000,0.1189376711845398,0.0,0.0,0.09615199267864227,0.24176505208015442,0.06119421869516373,0.05656575411558151,0.25377920269966125,0.17160610854625702,0.0
China,7,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
