Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
China,7,AFP,0.6922453236593008,0.6922453236593008,True
China,7,Input,0.5761015067835312,0.5761015067835312,True
China,7,Output,0.5694128300685519,0.5694128300685519,True
China,7,Enquiry,0.5670528068750866,0.5670528068750866,True
China,7,File,0.5509220023663264,0.5509220023663264,True
China,7,Interface,0.3802064305170164,0.3802064305170164,True
China,7,Added,0.6920843733558345,0.6920843733558345,True
China,7,Changed,0.1482905544323149,0.1482905544323149,False
China,7,Deleted,0.08102450014026687,0.08102450014026687,False
China,7,Resource,0.21671592209468377,0.21671592209468377,False
China,7,Duration,0.5040945194621399,0.5040945194621399,True
China,7,AdjFactor,0.33073090644601716,0.33073090644601716,True
China,8,AFP,0.6859201855789503,0.6859201855789503,True
China,8,Input,0.5798915070625743,0.5798915070625743,True
China,8,Output,0.5615849724771684,0.5615849724771684,True
China,8,Enquiry,0.5109031612161234,0.5109031612161234,True
China,8,File,0.6126481759328964,0.6126481759328964,True
China,8,Interface,0.3277143224889937,0.3277143224889937,True
China,8,Added,0.6943015266663608,0.6943015266663608,True
China,8,Changed,0.1115412764697745,0.1115412764697745,False
China,8,Deleted,0.06541818229669877,0.06541818229669877,False
China,8,Resource,0.24566571169758664,0.24566571169758664,False
China,8,Duration,0.48356168568480595,0.48356168568480595,True
China,8,AdjFactor,0.3296433706909973,0.3296433706909973,True
China,9,AFP,0.6871196454903029,0.6871196454903029,True
China,9,Input,0.5815201523149641,0.5815201523149641,True
China,9,Output,0.5638822542759107,0.5638822542759107,True
China,9,Enquiry,0.5100995791521746,0.5100995791521746,True
China,9,File,0.6213158044115403,0.6213158044115403,True
China,9,Interface,0.33247809074229834,0.33247809074229834,True
China,9,Added,0.691419187168473,0.691419187168473,True
China,9,Changed,0.1157902910656533,0.1157902910656533,False
China,9,Deleted,0.06490890805218644,0.06490890805218644,False
China,9,Resource,0.23704643058818417,0.23704643058818417,False
China,9,Duration,0.46221747457366547,0.46221747457366547,True
China,9,AdjFactor,0.326697221964112,0.326697221964112,True
China,10,AFP,0.6950102857957485,0.6950102857957485,True
China,10,Input,0.5953034971780512,0.5953034971780512,True
China,10,Output,0.5812784127988739,0.5812784127988739,True
China,10,Enquiry,0.48273720430563527,0.48273720430563527,True
China,10,File,0.6222491679565135,0.6222491679565135,True
China,10,Interface,0.331667528821046,0.331667528821046,True
China,10,Added,0.6981344534035175,0.6981344534035175,True
China,10,Changed,0.1340592960988211,0.1340592960988211,False
China,10,Deleted,0.13328414384734938,0.13328414384734938,False
China,10,Resource,0.23955321947813513,0.23955321947813513,False
China,10,Duration,0.47048624866338173,0.47048624866338173,True
China,10,AdjFactor,0.3108676208239983,0.3108676208239983,True
