Dataset,Fold,Variant,Training_MMRE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs
Subbiah,4,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,4,FAABE_NO_PEARSON,1.1946572065353394,0.0,0.11130836606025696,0.06398528069257736,0.1424442082643509,0.4837918281555176,0.198470339179039
Subbiah,4,FAABE_NO_IWM,1.0420340299606323,0.013514558784663677,0.15421830117702484,0.0,0.05523977428674698,0.0,0.7770273089408875
Subbiah,4,FAABE_FULL,1.1875063180923462,0.13536973297595978,0.10747741162776947,0.0,0.11935919523239136,0.2701019048690796,0.3676918148994446
Subbiah,5,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,5,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,5,FAABE_NO_PEARSON,1.0542292594909668,0.0,0.04659881070256233,0.0,0.09249375015497208,0.0,0.8609074354171753
Subbiah,5,FAABE_NO_IWM,1.020216941833496,0.0,0.08871742337942123,0.0,0.04787091910839081,0.0,0.8634116649627686
Subbiah,5,FAABE_FULL,1.0655224323272705,0.0,0.04128585010766983,0.0,0.08015450835227966,0.0,0.8785596489906311
Subbiah,6,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,6,FAABE_NO_FIREFLY,,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,,0.20000000298023224
Subbiah,6,FAABE_NO_PEARSON,1.339648723602295,0.0,0.37611091136932373,0.034895289689302444,0.08873219043016434,0.06791581958532333,0.43234583735466003
Subbiah,6,FAABE_NO_IWM,1.1628659963607788,0.0,0.10524392127990723,0.0,0.030105266720056534,,0.8646508455276489
Subbiah,6,FAABE_FULL,1.3365225791931152,0.0,0.1353318989276886,0.06431950628757477,0.46002197265625,,0.3403266370296478
Subbiah,7,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,7,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,7,FAABE_NO_PEARSON,1.077536940574646,0.0,0.11591526865959167,0.0,0.042028047144412994,0.0,0.8420566320419312
Subbiah,7,FAABE_NO_IWM,1.04390287399292,0.0,0.09260974824428558,0.0,0.0425562858581543,0.0,0.8648339509963989
Subbiah,7,FAABE_FULL,1.5484081506729126,0.0,0.06614334136247635,0.36933809518814087,0.11820123344659805,0.0,0.4463173449039459
Subbiah,8,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,8,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,8,FAABE_NO_PEARSON,1.5490764379501343,0.0,0.10843630880117416,0.6497175097465515,0.16376468539237976,0.0,0.07808155566453934
Subbiah,8,FAABE_NO_IWM,1.5064806938171387,0.0,0.11119752377271652,0.6652787923812866,0.1664828360080719,0.0,0.05704084038734436
Subbiah,8,FAABE_FULL,1.3237532377243042,0.0,0.05118921399116516,0.0,0.04866265505552292,0.0,0.9001481533050537
Subbiah,9,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,9,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,9,FAABE_NO_PEARSON,1.3839406967163086,0.0,0.14925268292427063,0.6102426648139954,0.12266950309276581,0.016614405438303947,0.1012207642197609
Subbiah,9,FAABE_NO_IWM,1.1669985055923462,0.0,0.09570233523845673,0.0,0.044212110340595245,0.0,0.8600855469703674
Subbiah,9,FAABE_FULL,1.3999743461608887,0.04330398887395859,0.14507749676704407,0.599511444568634,0.1037403792142868,0.0,0.1083666980266571
