Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP
Albrecht,5,WOA-ABE,0.5815844535827637,1000,0.0,0.12798117101192474,0.5889381170272827,0.046989161521196365,0.06797657161951065,0.16308249533176422,0.005032567773014307
Albrecht,5,FAABE,0.5897337198257446,1000,0.06775467842817307,0.11423379927873611,0.4525589048862457,0.1623607873916626,0.09239533543586731,0.0841422826051712,0.02655424363911152
Albrecht,6,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,6,GA-ABE,0.3044672906398773,1000,0.05763428658246994,0.19075247645378113,0.36855024099349976,0.11748751997947693,0.1375671923160553,0.014412562362849712,0.11359570920467377
Albrecht,6,PSO-ABE,0.3305318355560303,1000,0.051965534687042236,0.12041296809911728,0.22764012217521667,0.2780143618583679,0.06468934565782547,0.03757986053824425,0.21969786286354065
Albrecht,6,DE-ABE,0.30476999282836914,1000,4.95931672048755e-05,0.14811667799949646,0.2595663368701935,0.18272516131401062,0.07713717222213745,1.2259085302446238e-08,0.3324050307273865
Albrecht,6,GWO-ABE,0.299368679523468,1000,0.003066503908485174,0.1982080489397049,0.26492148637771606,0.16854692995548248,0.07764045149087906,0.0029025699477642775,0.2847140431404114
Albrecht,6,WOA-ABE,0.321103572845459,1000,0.06884749233722687,0.17493990063667297,0.34125620126724243,0.09167115390300751,0.04917329177260399,0.04580157622694969,0.22831034660339355
Albrecht,6,FAABE,0.3373824656009674,1000,0.27011579275131226,0.0793965682387352,0.4821126163005829,0.0,0.007306176237761974,0.0,0.1610688716173172
Albrecht,7,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,7,GA-ABE,0.5726809501647949,1000,0.0,0.0863087996840477,0.5704597234725952,0.10988554358482361,0.08309479057788849,0.08911909908056259,0.061132073402404785
Albrecht,7,PSO-ABE,0.5707276463508606,1000,0.0,0.08990400284528732,0.5717886686325073,0.10235302895307541,0.08110260963439941,0.0,0.1548517495393753
Albrecht,7,DE-ABE,0.6336732506752014,1000,0.33258509635925293,0.07059060037136078,0.17121952772140503,0.1736476868391037,0.008714087307453156,0.0698092132806778,0.17343378067016602
Albrecht,7,GWO-ABE,0.5713260769844055,1000,0.00406717648729682,0.08997353911399841,0.5672857165336609,0.10949293524026871,0.07992475479841232,0.0029300858732312918,0.14632576704025269
Albrecht,7,WOA-ABE,0.5780029296875,1000,0.04136710986495018,0.17144447565078735,0.32028743624687195,0.17349563539028168,0.09682901948690414,0.07674743980169296,0.1198289543390274
Albrecht,7,FAABE,0.5967364311218262,1000,0.040591850876808167,0.2096860110759735,0.3016242980957031,0.15293578803539276,0.08855218440294266,0.02801458351314068,0.17859533429145813
Albrecht,8,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,8,GA-ABE,0.5600032806396484,1000,0.049273405224084854,0.13042248785495758,0.55450838804245,0.13056480884552002,0.08599027991294861,0.04612400382757187,0.0031166302505880594
Albrecht,8,PSO-ABE,0.5585300922393799,1000,0.05275077000260353,0.11187040060758591,0.5592937469482422,0.13297238945960999,0.0803636834025383,0.0019209100864827633,0.06082817539572716
Albrecht,8,DE-ABE,0.7847408056259155,1000,0.0,0.19218221306800842,0.2629472613334656,0.024558836594223976,0.10957992821931839,0.22662462294101715,0.18410715460777283
