Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs
Subbiah,7,FAABE,1.520837664604187,1000,0.02986534684896469,0.17240704596042633,0.0,0.10379112511873245,0.0,0.6939365267753601
Subbiah,8,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,8,GA-ABE,1.5548478364944458,1000,0.0,0.31055277585983276,0.013487767428159714,0.1183909922838211,0.08106805384159088,0.47650039196014404
Subbiah,8,PSO-ABE,1.7326632738113403,1000,0.034518420696258545,0.23473908007144928,0.3580363094806671,0.13557478785514832,0.0,0.23713143169879913
Subbiah,8,DE-ABE,1.9196006059646606,1000,0.08517859131097794,0.0664578378200531,0.017990577965974808,0.13200795650482178,0.3416975140571594,0.35666757822036743
Subbiah,8,GWO-ABE,1.2993030548095703,1000,0.0013266542227938771,0.04139921814203262,0.0015295553021132946,0.05328710004687309,0.000618550693616271,0.9018388986587524
Subbiah,8,WOA-ABE,1.378446340560913,1000,0.0,0.004687665030360222,0.0,0.011050686240196228,0.0,0.984261691570282
Subbiah,8,FAABE,1.7944272756576538,1000,0.0,0.28506341576576233,0.058279335498809814,0.17238150537014008,0.3216848373413086,0.1625908762216568
Subbiah,9,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,9,GA-ABE,1.7270163297653198,1000,0.013711445033550262,0.27766892313957214,0.011004292406141758,0.13006308674812317,0.2590429186820984,0.30850934982299805
Subbiah,9,PSO-ABE,1.7395508289337158,1000,0.003191346535459161,0.26804447174072266,0.04192119464278221,0.17114853858947754,0.37191691994667053,0.14377759397029877
Subbiah,9,DE-ABE,1.4016097784042358,1000,0.031192699447274208,0.187980517745018,0.6353747844696045,0.13312433660030365,0.0046637943014502525,0.007663930766284466
Subbiah,9,GWO-ABE,1.199169397354126,1000,0.003944338299334049,0.023155229166150093,5.105474883748684e-06,0.03698549419641495,0.0019337671110406518,0.9339761137962341
Subbiah,9,WOA-ABE,1.1483612060546875,1000,0.0,0.03925664722919464,0.0,0.061578210443258286,0.0,0.899165153503418
Subbiah,9,FAABE,1.6738483905792236,1000,0.0,0.20108361542224884,0.28356823325157166,0.1486392468214035,0.040112316608428955,0.32659658789634705
Subbiah,10,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,10,GA-ABE,1.6373851299285889,1000,0.001425598282366991,0.22707302868366241,0.3703049421310425,0.14253711700439453,0.0011218540603294969,0.25753748416900635
Subbiah,10,PSO-ABE,1.1193546056747437,1000,0.0,0.13435207307338715,0.0,0.040302060544490814,0.0,0.8253458738327026
Subbiah,10,DE-ABE,1.5221973657608032,1000,0.003569737309589982,0.1962777078151703,0.6595095992088318,0.14064298570156097,0.0,0.0
Subbiah,10,GWO-ABE,1.419047474861145,1000,0.0033142147585749626,0.128278449177742,0.6612879633903503,0.1615435779094696,0.0004351958632469177,0.045140594244003296
Subbiah,10,WOA-ABE,1.2297000885009766,1000,0.0014667549403384328,0.06733456999063492,0.00010973324970109388,0.004424956627190113,0.0,0.9266639947891235
Subbiah,10,FAABE,1.631453037261963,1000,0.0536290667951107,0.2390749156475067,0.23485958576202393,0.13168169558048248,0.0,0.34075477719306946
