Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE
Miyazaki94,6,PSO-ABE,0.3981609642505646,1000,0.5551508665084839,0.0,0.0,0.11099322885274887,0.318028062582016,0.015827827155590057,0.0
Miyazaki94,6,DE-ABE,0.3996709883213043,1000,0.5456128120422363,0.19959449768066406,0.04610008746385574,0.0009872658411040902,0.10179178416728973,0.10591355711221695,0.0
Miyazaki94,6,GWO-ABE,0.3384605646133423,1000,0.6403045058250427,0.25188466906547546,0.0017526497831568122,0.003973645623773336,2.7280632366455393e-06,1.895428249554243e-05,0.10206285864114761
Miyazaki94,6,WOA-ABE,0.3406757712364197,1000,0.6384211778640747,0.2559613585472107,0.0,0.0,0.0,0.0,0.1056174784898758
Miyazaki94,6,FAABE,0.3689804673194885,1000,0.6894901394844055,0.15037329494953156,0.0,0.0019946079701185226,0.12449420243501663,0.0,0.033647771924734116
Miyazaki94,7,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,7,GA-ABE,0.3227127194404602,1000,0.2691971957683563,0.44017690420150757,1.565324237162713e-05,0.020320110023021698,0.07307790964841843,1.9728483380276884e-07,0.1972120702266693
Miyazaki94,7,PSO-ABE,0.3533474802970886,1000,0.580880880355835,0.0602542944252491,0.025250829756259918,0.03213328868150711,0.1138918399810791,0.001346791977994144,0.18624213337898254
Miyazaki94,7,DE-ABE,0.35864022374153137,1000,0.24045787751674652,0.31308576464653015,0.0,0.0001608092716196552,0.1456564962863922,0.0,0.3006390631198883
Miyazaki94,7,GWO-ABE,0.3598600924015045,1000,0.5870271325111389,0.030349325388669968,0.030954627320170403,0.048244912177324295,0.11560894548892975,9.214013698510826e-05,0.18772295117378235
Miyazaki94,7,WOA-ABE,0.373183935880661,1000,0.5773264169692993,0.09304391592741013,0.0,0.08102032542228699,0.05037924274802208,0.0010535719338804483,0.19717657566070557
Miyazaki94,7,FAABE,0.33530429005622864,1000,0.25137779116630554,0.424753874540329,0.0,0.0,0.0868442952632904,0.0,0.23702405393123627
Miyazaki94,8,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,8,GA-ABE,0.4148334562778473,1000,0.34508076310157776,0.22839710116386414,0.027221061289310455,0.134248286485672,0.0889568105340004,0.009830942377448082,0.1662651002407074
Miyazaki94,8,PSO-ABE,0.389340877532959,1000,0.5150768160820007,0.0,0.0,0.22387370467185974,0.141808420419693,0.0,0.11924100667238235
Miyazaki94,8,DE-ABE,0.40038737654685974,1000,0.2785789966583252,0.29086729884147644,0.0,0.05350293591618538,0.15542300045490265,0.03516167029738426,0.18646608293056488
Miyazaki94,8,GWO-ABE,0.38380804657936096,1000,0.48401233553886414,0.04096696153283119,0.012377552688121796,0.27962014079093933,0.13203367590904236,0.0006744636339135468,0.050314925611019135
Miyazaki94,8,WOA-ABE,0.47531867027282715,1000,0.727029025554657,0.0,0.0,0.0,0.272970974445343,0.0,0.0
Miyazaki94,8,FAABE,0.41602379083633423,1000,0.3085439205169678,0.43298083543777466,0.0,0.0,0.04555327445268631,0.0,0.21292199194431305
Miyazaki94,9,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,9,GA-ABE,0.4004298150539398,1000,0.5312445759773254,0.13512203097343445,0.0,0.1077485978603363,0.09879312664270401,0.0025302846916019917,0.12456141412258148
Miyazaki94,9,PSO-ABE,0.42386865615844727,1000,0.6108219027519226,0.11379606276750565,0.0,0.0,0.0,0.0,0.27538201212882996
Miyazaki94,9,DE-ABE,0.39843252301216125,1000,0.38706550002098083,0.09089767932891846,0.0,6.55248950351961e-05,0.12745033204555511,1.868390609160997e-05,0.39450234174728394
Miyazaki94,9,GWO-ABE,0.4085861146450043,1000,0.5058147311210632,0.003448775038123131,0.00010874059807974845,0.03896123170852661,0.12581315636634827,0.00018575774447526783,0.3256675899028778
Miyazaki94,9,WOA-ABE,0.4444234371185303,1000,0.2818495035171509,0.6360776424407959,0.0,0.009476511739194393,0.06729037314653397,0.005306008737534285,0.0
Miyazaki94,9,FAABE,0.39433982968330383,1000,0.4786394536495209,0.15096573531627655,0.0,0.16499605774879456,0.1397625207901001,0.0,0.06563623249530792
Miyazaki94,10,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,10,GA-ABE,0.3767012059688568,1000,0.46063482761383057,0.11481603235006332,0.0,0.22785086929798126,0.04639589041471481,0.0,0.1503024399280548
Miyazaki94,10,PSO-ABE,0.39276739954948425,1000,0.5336394309997559,0.0,0.0,0.30088046193122864,0.0,0.0,0.1654801219701767
Miyazaki94,10,DE-ABE,0.4186907410621643,1000,0.28072962164878845,0.16980288922786713,0.02447381243109703,0.015229099430143833,0.21517112851142883,0.04315687716007233,0.2514365613460541
Miyazaki94,10,GWO-ABE,0.40321817994117737,1000,0.5383660197257996,0.07094630599021912,0.0130680613219738,0.07389136403799057,0.05894208699464798,0.0,0.24478624761104584
Miyazaki94,10,WOA-ABE,0.3687668740749359,1000,0.4760309159755707,0.08196906745433807,0.0,0.1918969303369522,0.08631068468093872,0.0,0.16379235684871674
Miyazaki94,10,FAABE,0.38712382316589355,1000,0.5210453867912292,0.014208429493010044,0.0,0.23967024683952332,0.12664465606212616,0.0,0.09843128174543381
