Dataset,Fold,Variant,Training_MMRE,Language,Hardware,Duration,KSLOC,AdjFP,RAWFP
Kemerer,6,FAABE_NO_PEARSON,0.560731053352356,0.2794076204299927,0.050138942897319794,0.06411443650722504,0.21689392626285553,0.38944506645202637,0.0
Kemerer,6,FAABE_NO_IWM,0.61119145154953,0.14483922719955444,,,0.5935693383216858,0.15502475202083588,0.10656675696372986
Kemerer,6,FAABE_FULL,0.5956487059593201,0.1455487310886383,,,0.4533548355102539,0.2842421531677246,0.11685432493686676
Kemerer,7,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,7,FAABE_NO_FIREFLY,,,,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kemerer,7,FAABE_NO_PEARSON,0.5315110087394714,0.44006046652793884,0.15469254553318024,0.15591074526309967,0.15856677293777466,0.09076949208974838,0.0
Kemerer,7,FAABE_NO_IWM,0.5601018667221069,,,,0.715951681137085,0.2840483486652374,0.0
Kemerer,7,FAABE_FULL,0.5700424313545227,,,,0.6762046813964844,0.23104682564735413,0.09274851530790329
Kemerer,8,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,8,FAABE_NO_FIREFLY,,,,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kemerer,8,FAABE_NO_PEARSON,0.5581877827644348,0.3473479449748993,0.0,0.353773295879364,0.1385088860988617,0.1603698432445526,0.0
Kemerer,8,FAABE_NO_IWM,0.6681641340255737,,,,0.11446619778871536,0.5279160141944885,0.3576178252696991
Kemerer,8,FAABE_FULL,0.6376999616622925,,,,0.684212327003479,0.3157876431941986,0.0
Kemerer,9,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,9,FAABE_NO_FIREFLY,,0.25,,,0.25,0.25,0.25
Kemerer,9,FAABE_NO_PEARSON,0.5019580125808716,0.3685222268104553,0.0,0.2595980763435364,0.23594927787780762,0.1359304040670395,0.0
Kemerer,9,FAABE_NO_IWM,0.5518097877502441,0.13768692314624786,,,0.739946722984314,0.09308083355426788,0.02928551472723484
Kemerer,9,FAABE_FULL,0.5527299642562866,0.13861820101737976,,,0.46772974729537964,0.3936520516872406,0.0
Kemerer,10,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Kemerer,10,FAABE_NO_FIREFLY,,,,,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kemerer,10,FAABE_NO_PEARSON,0.39694467186927795,0.06788291037082672,0.023690395057201385,0.13435637950897217,0.4753730297088623,0.2617349326610565,0.03696232661604881
Kemerer,10,FAABE_NO_IWM,0.4364851415157318,,,,0.4697261154651642,0.5302738547325134,0.0
Kemerer,10,FAABE_FULL,0.43225958943367004,,,,0.4761035740375519,0.5238963961601257,0.0
