Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,data,modp,loc,pcap,turn
COCOMO81,4,FAABE,1.460254430770874,1000,0.4242311418056488,,0.5757688879966736,,
COCOMO81,5,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,5,GA-ABE,2.0316548347473145,1000,0.0013531477889046073,0.8889297842979431,0.10971705615520477,,
COCOMO81,5,PSO-ABE,1.3362703323364258,1000,0.27076098322868347,0.0,0.7292390465736389,,
COCOMO81,5,DE-ABE,1.3206156492233276,1000,0.5069076418876648,0.0027902903966605663,0.49030208587646484,,
COCOMO81,5,GWO-ABE,2.0647945404052734,1000,1.578499109200493e-08,0.4349606931209564,0.565039336681366,,
COCOMO81,5,WOA-ABE,1.3362704515457153,1000,0.270761638879776,0.0,0.7292383313179016,,
COCOMO81,5,FAABE,1.3017550706863403,1000,0.3233925998210907,0.0038720201700925827,0.6727353930473328,,
COCOMO81,6,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,6,GA-ABE,1.3645377159118652,1000,0.27058160305023193,0.013466193340718746,0.7159521579742432,,
COCOMO81,6,PSO-ABE,1.4809117317199707,1000,0.008860242553055286,0.6277627348899841,0.36337703466415405,,
COCOMO81,6,DE-ABE,1.3644527196884155,1000,0.27108773589134216,0.013094321824610233,0.7158179879188538,,
COCOMO81,6,GWO-ABE,1.4661424160003662,1000,0.002640919992700219,0.8870183825492859,0.11034068465232849,,
COCOMO81,6,WOA-ABE,1.3187386989593506,1000,0.5689015984535217,0.015217097476124763,0.41588130593299866,,
COCOMO81,6,FAABE,1.4839110374450684,1000,0.011061439290642738,0.5324337482452393,0.45650485157966614,,
COCOMO81,7,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,7,GA-ABE,1.486696481704712,1000,0.8975745439529419,0.0009347705054096878,0.10149066895246506,,
COCOMO81,7,PSO-ABE,1.6848210096359253,1000,0.39976826310157776,0.0,0.6002317667007446,,
COCOMO81,7,DE-ABE,1.7052725553512573,1000,0.2145266979932785,0.0,0.7854733467102051,,
COCOMO81,7,GWO-ABE,1.4709463119506836,1000,0.9358726143836975,0.0005413130857050419,0.0635860487818718,,
COCOMO81,7,WOA-ABE,1.3920124769210815,1000,0.9999998807907104,1.0193389465840141e-09,9.14442352950573e-08,,
COCOMO81,7,FAABE,1.8822908401489258,1000,0.014105738140642643,0.3565210998058319,0.6293731331825256,,
COCOMO81,8,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,8,GA-ABE,1.4207748174667358,1000,0.8708314299583435,0.0010436696466058493,0.12812486290931702,,
COCOMO81,8,PSO-ABE,1.4318732023239136,1000,0.5998773574829102,0.0032267854548990726,0.3968958854675293,,
COCOMO81,8,DE-ABE,1.46073317527771,1000,0.1205950379371643,0.007091856561601162,0.8723131418228149,,
COCOMO81,8,GWO-ABE,1.4731411933898926,1000,0.11804894357919693,0.0052368841134011745,0.8767141699790955,,
COCOMO81,8,WOA-ABE,1.4607545137405396,1000,0.12105416506528854,0.007090000901371241,0.8718558549880981,,
COCOMO81,8,FAABE,1.4339392185211182,1000,0.4840380847454071,0.004199697636067867,0.511762261390686,,
COCOMO81,9,ABE,,0,0.25,0.25,0.25,,0.25
COCOMO81,9,GA-ABE,1.3143244981765747,1000,0.05624464899301529,0.005064180586487055,0.31211748719215393,,0.6265736818313599
COCOMO81,9,PSO-ABE,1.3303669691085815,1000,0.01200166530907154,0.05670952796936035,0.4582991898059845,,0.47298964858055115
COCOMO81,9,DE-ABE,1.4127622842788696,1000,0.03425005078315735,0.09718076139688492,0.7929297685623169,,0.07563941925764084
COCOMO81,9,GWO-ABE,1.3349864482879639,1000,0.013181474059820175,0.0683654174208641,0.7057642936706543,,0.21268883347511292
COCOMO81,9,WOA-ABE,1.2179516553878784,1000,0.009882290847599506,0.0042509823106229305,0.29735592007637024,,0.6885108351707458
COCOMO81,9,FAABE,1.2354167699813843,1000,0.02659342996776104,0.012753881514072418,0.23823358118534088,,0.7224190831184387
COCOMO81,10,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408,,
COCOMO81,10,GA-ABE,1.6176053285598755,1000,0.0015821134438738227,0.9213060736656189,0.07711181789636612,,
COCOMO81,10,PSO-ABE,1.3466742038726807,1000,0.9997289776802063,5.269679604680277e-06,0.00026580068515613675,,
COCOMO81,10,DE-ABE,1.518215537071228,1000,9.427722034160979e-06,0.9995216131210327,0.00046895164996385574,,
COCOMO81,10,GWO-ABE,1.6137495040893555,1000,0.0013312241062521935,0.9341766834259033,0.06449206918478012,,
