Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Language,KSLOC,AdjFP,RAWFP,Duration
Kemerer,7,GA-ABE,0.5702771544456482,1000,,0.6801456212997437,0.25711050629615784,0.06274386495351791,
Kemerer,7,PSO-ABE,0.5702977180480957,1000,,0.6841595768928528,0.3158404529094696,0.0,
Kemerer,7,DE-ABE,0.6370699405670166,1000,,0.0,0.3406597077846527,0.6593402624130249,
Kemerer,7,GWO-ABE,0.5700250267982483,1000,,0.6760345697402954,0.2308206409215927,0.09314480423927307,
Kemerer,7,WOA-ABE,0.5700759887695312,1000,,0.6780800819396973,0.252822607755661,0.0690973699092865,
Kemerer,7,FAABE,0.6370747089385986,1000,,0.0,0.34036341309547424,0.6596366167068481,
Kemerer,8,ABE,,0,,0.3333333432674408,0.3333333432674408,0.3333333432674408,
Kemerer,8,GA-ABE,0.6592862606048584,1000,,0.0,0.44447338581085205,0.555526614189148,
Kemerer,8,PSO-ABE,0.6376976370811462,1000,,0.6841596961021423,0.31584036350250244,0.0,
Kemerer,8,DE-ABE,0.6361846327781677,1000,,0.7061660289764404,0.23035480082035065,0.06347920000553131,
Kemerer,8,GWO-ABE,0.6595391631126404,1000,,0.0013271026546135545,0.4456372857093811,0.5530356168746948,
Kemerer,8,WOA-ABE,0.6390955448150635,1000,,0.6820518374443054,0.17580552399158478,0.14214268326759338,
Kemerer,8,FAABE,0.6375969648361206,1000,,0.6891130805015564,0.24640312790870667,0.06448382139205933,
Kemerer,9,ABE,,0,0.25,0.25,0.25,0.25,
Kemerer,9,GA-ABE,0.572951078414917,1000,0.0,0.3271888792514801,0.4208560883998871,0.2519550621509552,
Kemerer,9,PSO-ABE,0.5522720813751221,1000,0.14695203304290771,0.45558828115463257,0.3122797906398773,0.08517992496490479,
Kemerer,9,DE-ABE,0.5533329844474792,1000,0.18893137574195862,0.5302972793579102,0.2799606919288635,0.00081063830293715,
Kemerer,9,GWO-ABE,0.5541409254074097,1000,0.18293166160583496,0.5343387126922607,0.2650420665740967,0.017687590792775154,
Kemerer,9,WOA-ABE,0.5536810159683228,1000,0.19033262133598328,0.5309430360794067,0.21966734528541565,0.05905698984861374,
Kemerer,9,FAABE,0.5524681806564331,1000,0.14838340878486633,0.4626835882663727,0.3841148912906647,0.004818102810531855,
Kemerer,10,ABE,,0,,0.3333333432674408,0.3333333432674408,0.3333333432674408,
Kemerer,10,GA-ABE,0.41096818447113037,1000,,0.7310735583305359,0.24700702726840973,0.021919406950473785,
Kemerer,10,PSO-ABE,0.41062819957733154,1000,,0.737550675868988,0.26244935393333435,0.0,
Kemerer,10,DE-ABE,0.41137102246284485,1000,,0.6981581449508667,0.3018419146537781,0.0,
Kemerer,10,GWO-ABE,0.41164931654930115,1000,,0.6974881887435913,0.29316386580467224,0.009347894228994846,
Kemerer,10,WOA-ABE,0.4106289744377136,1000,,0.7375591397285461,0.26244086027145386,0.0,
Kemerer,10,FAABE,0.4106489419937134,1000,,0.7377896308898926,0.26221033930778503,0.0,
